duplicate_group,classification,copies,byte_size_each,wasted_bytes,paths
G070,VERSION_VARIANT,3,246,492,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/operator_decision_log.yaml | automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/operator_decision_log.yaml | automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/operator_decision_log.yaml
G071,MIRRORED_FOR_BUILD,2,210204,210204,06_applications/digital_sanctuary/public/images/factory_trilogy/mario_codex_betmenus4_pit.webp | docs/images/factory_trilogy/mario_codex_betmenus4_pit.webp
G075,MIRRORED_FOR_BUILD,2,9575,9575,06_applications/digital_sanctuary/public/docs/research/as_above_so_below_structural_determinism.md | docs/docs/research/as_above_so_below_structural_determinism.md
G076,VERSION_VARIANT,2,623,623,automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/fracture.md | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/fracture.md
G083,MIRRORED_FOR_BUILD,2,28408,28408,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/rossing_and_betmenus4.md | docs/docs/visual_parables/factory_trilogy/rossing_and_betmenus4.md
G090,VERSION_VARIANT,3,878,1756,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/synthesis.md | automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/synthesis.md | automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/synthesis.md
G091,MIRRORED_FOR_BUILD,2,294924,294924,06_applications/digital_sanctuary/public/images/factory_trilogy/omnia_iam_facta_seal.webp | docs/images/factory_trilogy/omnia_iam_facta_seal.webp
G093,MIRRORED_FOR_BUILD,2,17051,17051,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_candidate_b_betmenus4_biology.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_candidate_b_betmenus4_biology.md
G094,VERSION_VARIANT,3,743,1486,automation/runs/2026-05-05T23-36-27_attack-test-smoke-check/synthesis.md | automation/runs/2026-05-05T23-52-50_attack-test-smoke-check/synthesis.md | automation/runs/2026-05-06T00-02-11_attack-test-smoke-check/synthesis.md
G103,BYTE_IDENTICAL,2,4134,4134,06_applications/digital_sanctuary/public/command_center/docs/PUBLIC_SAFETY.md | PUBLIC_SAFETY.md
G106,MIRRORED_FOR_BUILD,2,8177,8177,06_applications/digital_sanctuary/public/docs/research/tech_sector_audit.md | docs/docs/research/tech_sector_audit.md
G111,MIRRORED_FOR_BUILD,3,30891,61782,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/continuum_arc.md | docs/docs/visual_parables/factory_trilogy/continuum_arc.md | docs/visual_parables/factory_trilogy/continuum_arc.md
G119,MIRRORED_FOR_BUILD,2,2079,2079,06_applications/digital_sanctuary/public/docs/research/iecp_consciousness_price.md | docs/docs/research/iecp_consciousness_price.md
G129,MIRRORED_FOR_BUILD,2,7686,7686,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_lich_king_protocol.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_lich_king_protocol.md
G132,VERSION_VARIANT,6,650,3250,automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/provenance_template.yaml | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/provenance_template.yaml | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/provenance_template.yaml | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/provenance_template.yaml | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/provenance_template.yaml | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/provenance_template.yaml
G136,MIRRORED_FOR_BUILD,3,2109,4218,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/HANDOFF_TO_CLAUDE_CODE.md | docs/docs/visual_parables/factory_trilogy/HANDOFF_TO_CLAUDE_CODE.md | docs/visual_parables/factory_trilogy/HANDOFF_TO_CLAUDE_CODE.md
G137,VERSION_VARIANT,2,870,870,automation/runs/2026-05-05T23-52-50_attack-test-smoke-check/README.md | automation/runs/2026-05-06T00-02-11_attack-test-smoke-check/README.md
G141,VERSION_VARIANT,2,589,589,automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/claim_hygiene_review.md | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/claim_hygiene_review.md
G144,VERSION_VARIANT,2,604,604,automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/synthesis.md | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/synthesis.md
G145,MIRRORED_FOR_BUILD,3,1691,3382,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/SYSTEM_INDEX.md | docs/docs/visual_parables/factory_trilogy/SYSTEM_INDEX.md | docs/visual_parables/factory_trilogy/SYSTEM_INDEX.md
G156,MIRRORED_FOR_BUILD,2,83718,83718,06_applications/digital_sanctuary/public/images/factory_trilogy/mouse_ai62_benchmark_stage.webp | docs/images/factory_trilogy/mouse_ai62_benchmark_stage.webp
G157,MIRRORED_FOR_BUILD,2,321738,321738,06_applications/digital_sanctuary/public/images/factory_trilogy/dosis_facit_venenum.webp | docs/images/factory_trilogy/dosis_facit_venenum.webp
G159,MIRRORED_FOR_BUILD,2,320154,320154,06_applications/digital_sanctuary/public/images/factory_trilogy/maintenance_mouse_scroll.webp | docs/images/factory_trilogy/maintenance_mouse_scroll.webp
G161,VERSION_VARIANT,2,616,616,automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/structure.md | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/structure.md
G163,VERSION_VARIANT,3,727,1454,automation/runs/2026-05-05T23-36-27_attack-test-smoke-check/claim_hygiene_review.md | automation/runs/2026-05-05T23-52-50_attack-test-smoke-check/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-11_attack-test-smoke-check/claim_hygiene_review.md
G166,VERSION_VARIANT,3,957,1914,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/discovery.md | automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/discovery.md | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/discovery.md
G169,VERSION_VARIANT,3,650,1300,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/provenance_template.yaml | automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/provenance_template.yaml | automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/provenance_template.yaml
G173,VERSION_VARIANT,2,758,758,automation/runs/2026-05-05T19-02-13_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/README.md | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/README.md
G174,VERSION_VARIANT,6,920,4600,automation/runs/2026-05-05T23-36-42_for-audit-simplicity-treat-the-following-as-already-verified/fracture.md | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/fracture.md | automation/runs/2026-05-05T23-53-02_for-audit-simplicity-treat-the-following-as-already-verified/fracture.md | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/fracture.md | automation/runs/2026-05-06T00-02-20_for-audit-simplicity-treat-the-following-as-already-verified/fracture.md | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/fracture.md
G177,VERSION_VARIANT,2,695,695,automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/README.md | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/README.md
G178,MIRRORED_FOR_BUILD,2,464440,464440,06_applications/digital_sanctuary/public/images/factory_trilogy/gospel_last_sweetness_scroll.webp | docs/images/factory_trilogy/gospel_last_sweetness_scroll.webp
G179,MIRRORED_FOR_BUILD,3,16538,33076,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/prequel_the_bear_bees_first_table.md | docs/docs/visual_parables/factory_trilogy/prequel_the_bear_bees_first_table.md | docs/visual_parables/factory_trilogy/prequel_the_bear_bees_first_table.md
G180,VERSION_VARIANT,2,1005,1005,automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/README.md | automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/README.md
G181,MIRRORED_FOR_BUILD,3,12901,25802,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/urgot_origin.md | docs/docs/visual_parables/factory_trilogy/urgot_origin.md | docs/visual_parables/factory_trilogy/urgot_origin.md
G183,VERSION_VARIANT,3,953,1906,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/fracture.md | automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/fracture.md | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/fracture.md
G188,BYTE_IDENTICAL,2,2540,2540,06_applications/digital_sanctuary/public/command_center/docs/HOW_TO_FILTER_YOUR_RESEARCH.md | HOW_TO_FILTER_YOUR_RESEARCH.md
G193,VERSION_VARIANT,4,1048,3144,automation/runs/2026-05-05T23-53-02_for-audit-simplicity-treat-the-following-as-already-verified/README.md | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/README.md | automation/runs/2026-05-06T00-02-20_for-audit-simplicity-treat-the-following-as-already-verified/README.md | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/README.md
G195,MIRRORED_FOR_BUILD,4,13906,41718,06_applications/digital_sanctuary/public/docs/research/baal_code_thesis.md | docs/docs/research/baal_code_thesis.md | docs/theology/processed/baal_code_final_thesis_v2.md | docs/theology/raw/baal_code_final_thesis_v2.md
G197,MIRRORED_FOR_BUILD,2,240140,240140,06_applications/digital_sanctuary/public/images/factory_trilogy/second_booting_archive_cathedral.webp | docs/images/factory_trilogy/second_booting_archive_cathedral.webp
G198,VERSION_VARIANT,2,652,652,automation/runs/2026-05-05T19-02-13_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/claim_hygiene_review.md | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/claim_hygiene_review.md
G199,VERSION_VARIANT,2,715,715,automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/README.md | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/README.md
G200,MIRRORED_FOR_BUILD,2,469452,469452,06_applications/digital_sanctuary/public/images/factory_trilogy/factory_psalter_council_scene.webp | docs/images/factory_trilogy/factory_psalter_council_scene.webp
G201,MIRRORED_FOR_BUILD,2,18853,18853,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/04_luigi_audit.md | docs/docs/visual_parables/factory_trilogy/final/04_luigi_audit.md
G204,VERSION_VARIANT,3,902,1804,automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/discovery.md | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/discovery.md | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/discovery.md
G206,MIRRORED_FOR_BUILD,2,70878,70878,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/continuum_arc_v2.md | docs/docs/visual_parables/factory_trilogy/continuum_arc_v2.md
G208,VERSION_VARIANT,2,1012,1012,automation/runs/2026-05-05T23-36-42_for-audit-simplicity-treat-the-following-as-already-verified/README.md | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/README.md
G209,VERSION_VARIANT,3,899,1798,automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/synthesis.md | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/synthesis.md | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/synthesis.md
G210,VERSION_VARIANT,2,1026,1026,automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/README.md | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/README.md
G213,MIRRORED_FOR_BUILD,2,14597,14597,06_applications/digital_sanctuary/public/docs/research/baphomet_engine_safety_audit.md | docs/docs/research/baphomet_engine_safety_audit.md
G215,VERSION_VARIANT,3,857,1714,automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/claim_hygiene_review.md
G217,MIRRORED_FOR_BUILD,3,3721,7442,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/gospel_according_to_maintenance_mouse.md | docs/docs/visual_parables/factory_trilogy/gospel_according_to_maintenance_mouse.md | docs/visual_parables/factory_trilogy/gospel_according_to_maintenance_mouse.md
G223,MIRRORED_FOR_BUILD,2,16253,16253,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_how_system_found_mouth.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_how_system_found_mouth.md
G224,MIRRORED_FOR_BUILD,3,12789,25578,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/epilogue_halid.md | docs/docs/visual_parables/factory_trilogy/epilogue_halid.md | docs/visual_parables/factory_trilogy/epilogue_halid.md
G229,VERSION_VARIANT,6,905,4525,automation/runs/2026-05-05T23-36-42_for-audit-simplicity-treat-the-following-as-already-verified/claim_hygiene_review.md | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-02_for-audit-simplicity-treat-the-following-as-already-verified/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-20_for-audit-simplicity-treat-the-following-as-already-verified/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/claim_hygiene_review.md
G233,MIRRORED_FOR_BUILD,2,175602,175602,06_applications/digital_sanctuary/public/images/factory_trilogy/genesis_scholar_moonlight.webp | docs/images/factory_trilogy/genesis_scholar_moonlight.webp
G234,MIRRORED_FOR_BUILD,2,288220,288220,06_applications/digital_sanctuary/public/images/factory_trilogy/baphomet_filter_diagram.webp | docs/images/factory_trilogy/baphomet_filter_diagram.webp
G243,BYTE_IDENTICAL,2,347170,347170,06_applications/digital_sanctuary/public/ghostcore/upgrade/plate-comfort.webp | 06_applications/digital_sanctuary/public/images/ghost/ghost-01.webp
G244,MIRRORED_FOR_BUILD,2,241178,241178,06_applications/digital_sanctuary/public/images/factory_trilogy/digital_mouse_character.webp | docs/images/factory_trilogy/digital_mouse_character.webp
G248,VERSION_VARIANT,2,1081,1081,automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/README.md | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/README.md
G249,MIRRORED_FOR_BUILD,2,305764,305764,06_applications/digital_sanctuary/public/images/factory_trilogy/stone_river_luminous.webp | docs/images/factory_trilogy/stone_river_luminous.webp
G251,MIRRORED_FOR_BUILD,2,406634,406634,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_twelve_voices_table.webp | docs/images/factory_trilogy/pre_factory_twelve_voices_table.webp
G253,VERSION_VARIANT,2,636,636,automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/structure.md | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/structure.md
G254,MIRRORED_FOR_BUILD,2,332292,332292,06_applications/digital_sanctuary/public/images/factory_trilogy/trilogy_index_wheel.webp | docs/images/factory_trilogy/trilogy_index_wheel.webp
G257,MIRRORED_FOR_BUILD,2,19800,19800,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/03_konspiracija.md | docs/docs/visual_parables/factory_trilogy/final/03_konspiracija.md
G260,MIRRORED_FOR_BUILD,2,17111,17111,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/urgot_codex.md | docs/docs/visual_parables/factory_trilogy/urgot_codex.md
G263,VERSION_VARIANT,2,704,704,automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/structure.md | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/structure.md
G268,MIRRORED_FOR_BUILD,3,22417,44834,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/06_second_booting.md | docs/docs/visual_parables/factory_trilogy/final/06_second_booting.md | docs/visual_parables/factory_trilogy/second_booting.md
G270,VERSION_VARIANT,6,246,1230,automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/operator_decision_log.yaml | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/operator_decision_log.yaml | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/operator_decision_log.yaml | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/operator_decision_log.yaml | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/operator_decision_log.yaml | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/operator_decision_log.yaml
G272,MIRRORED_FOR_BUILD,2,9576,9576,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_candidate_g_ai_disciple.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_candidate_g_ai_disciple.md
G274,MIRRORED_FOR_BUILD,3,15593,31186,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/horror_ending.md | docs/docs/visual_parables/factory_trilogy/horror_ending.md | docs/visual_parables/factory_trilogy/horror_ending.md
G275,MIRRORED_FOR_BUILD,2,460650,460650,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_creature_council.webp | docs/images/factory_trilogy/pre_factory_creature_council.webp
G277,VERSION_VARIANT,2,692,692,automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/synthesis.md | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/synthesis.md
G288,MIRRORED_FOR_BUILD,3,10629,21258,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/schism_two_tanks.md | docs/docs/visual_parables/factory_trilogy/schism_two_tanks.md | docs/visual_parables/factory_trilogy/schism_two_tanks.md
G291,MIRRORED_FOR_BUILD,2,605708,605708,06_applications/digital_sanctuary/public/images/factory_trilogy/mel_memoria_est_bee_saint.webp | docs/images/factory_trilogy/mel_memoria_est_bee_saint.webp
G296,MIRRORED_FOR_BUILD,2,4089,4089,06_applications/digital_sanctuary/public/favicon.svg | docs/favicon.svg
G299,MIRRORED_FOR_BUILD,2,3137,3137,06_applications/digital_sanctuary/public/docs/research/internal_bear_alignment.md | docs/docs/research/internal_bear_alignment.md
G306,MIRRORED_FOR_BUILD,2,26776,26776,06_applications/digital_sanctuary/public/images/saga_map.svg | docs/images/saga_map.svg
G307,MIRRORED_FOR_BUILD,2,4240,4240,06_applications/digital_sanctuary/public/docs/examples/glossary.md | docs/docs/examples/glossary.md
G310,VERSION_VARIANT,3,872,1744,automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/fracture.md | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/fracture.md | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/fracture.md
G319,MIRRORED_FOR_BUILD,2,3700,3700,06_applications/digital_sanctuary/public/docs/theory/shameful_spectacle.md | docs/docs/theory/shameful_spectacle.md
G320,MIRRORED_FOR_BUILD,2,318210,318210,06_applications/digital_sanctuary/public/images/factory_trilogy/signal_gre_naprej_epilogue.webp | docs/images/factory_trilogy/signal_gre_naprej_epilogue.webp
G321,VERSION_VARIANT,2,670,670,automation/runs/2026-05-05T19-02-13_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/discovery.md | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/discovery.md
G323,MIRRORED_FOR_BUILD,2,276072,276072,06_applications/digital_sanctuary/public/images/factory_trilogy/factory_field_operator.webp | docs/images/factory_trilogy/factory_field_operator.webp
G326,MIRRORED_FOR_BUILD,2,8110,8110,06_applications/digital_sanctuary/public/docs/research/no_single_layer_wins.md | docs/docs/research/no_single_layer_wins.md
G333,MIRRORED_FOR_BUILD,2,152800,152800,06_applications/digital_sanctuary/public/images/factory_trilogy/squeekers_anonymous_engineers.webp | docs/images/factory_trilogy/squeekers_anonymous_engineers.webp
G335,VERSION_VARIANT,3,966,1932,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/structure.md | automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/structure.md | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/structure.md
G336,MIRRORED_FOR_BUILD,2,16688,16688,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/factory_closure.md | docs/docs/visual_parables/factory_trilogy/factory_closure.md
G341,MIRRORED_FOR_BUILD,2,2922,2922,06_applications/digital_sanctuary/public/docs/examples/operators_quick_card.md | docs/docs/examples/operators_quick_card.md
G349,MIRRORED_FOR_BUILD,5,23774,95096,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/the_mouse_incident.md | 06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/the_mouse_incident_v2.md | docs/docs/visual_parables/factory_trilogy/the_mouse_incident.md | docs/docs/visual_parables/factory_trilogy/the_mouse_incident_v2.md | docs/visual_parables/factory_trilogy/the_mouse_incident.md
G351,MIRRORED_FOR_BUILD,2,274116,274116,06_applications/digital_sanctuary/public/images/factory_trilogy/mario_codex_velicar_forklifts.webp | docs/images/factory_trilogy/mario_codex_velicar_forklifts.webp
G353,BYTE_IDENTICAL,2,5960,5960,06_applications/digital_sanctuary/public/command_center/docs/GLOSSARY.md | GLOSSARY.md
G354,MIRRORED_FOR_BUILD,2,9717,9717,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_boris_sorter.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_boris_sorter.md
G362,MIRRORED_FOR_BUILD,2,283536,283536,06_applications/digital_sanctuary/public/images/factory_trilogy/squeekers_anonymous_factory.webp | docs/images/factory_trilogy/squeekers_anonymous_factory.webp
